stock_code,name,industry,full_name,address,chairman,manager,main_business,create_date,capital,ipo_date,state,common_share_price,common_shares,dividend_frequency,company_url,money_dj_introduce_url
0001,鴻運,此代號非公司,,,,,,,,,,,,,,
0015,富邦,此代號非公司,,,,,,,,,,,,,,
0029,富邦店,此代號非公司,,,,,,,,,,,,,,
0050,元大台灣50,此代號非公司,,,,,,,,,,,,,,
1101,台泥,水泥工業,台灣水泥股份有限公司,finance@taiwancement.com,張安平,李鐘培,有關水泥及水泥製品之生產及運銷有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷經營有關水泥工業及其附屬事業,39/12/29,"61,574,403,270元",51/02/09,上市,新台幣10.0000元,"5,957,440,327股(含私募0股)",每年,https://www.taiwancement.com/tw/index.html,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=169f9c38-0f81-4fde-9b2f-d826cc398799
1102,亞泥,水泥工業,亞洲水泥股份有限公司,台北市大安區敦化南路二段207號30、31樓,徐旭東,李坤炎,"水泥,水泥之半成品,水泥製品,預拌混凝土及其添加劑之生產運銷水泥原料,水泥製品原料及砂石開採及爐石粉,石灰石粉之製造運銷其他未述及之項目請參照本公司營業執照之所營事業",46/03/21,"34,460,572,510元",51/06/08,上市,新台幣10.0000元,"3,446,057,251股(含私募0股)",每年,https://www.acc.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=3345943b-f053-480a-812e-8a426c5d63c2
1103,嘉泥,水泥工業,嘉新水泥股份有限公司,台北市中山區中山北路二段96號,張剛綸,祁士鉅,水泥、生產、銷售,43/12/13,"7,747,805,480元",58/11/14,上市,新台幣10.0000元,"774,780,548股(含私募0股)",每年,http://www.chcgroup.com.tw/,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=21cf9c00-a9f4-4498-b4b2-86c1d16d0eb4
1104,環泥,水泥工業,環球水泥股份有限公司,台北市中山區南京東路二段125號10F,侯博義,侯智升,水泥原料熟料及水泥製品原料之開採製造生產運銷石膏板及其原料生產加工運銷，裝潢工程設計安裝前各項有關產品之進出口代理銷售業務,49/03/21,"6,536,091,920元",60/02/01,上市,新台幣10.0000元,"653,609,192股(含私募0股)",每年,http://www.ucctw.com/m/home.php,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=9979bb15-e89e-47bb-b3b6-0481a725e55f
1107,建台,公司不繼續公開發行,,,,,,,,,,,,,,
1108,幸福,水泥工業,幸福水泥股份有限公司,台北市中山區松江路237號15樓,陳兩傳,陳兩傳,有關水泥及水泥製品之工業及相關事業,63/05/07,"4,047,380,490元",79/06/06,上市,新台幣10.0000元,"404,738,049股(含私募0股)",每半會計年度,http://www.luckygrp.com.tw/tw/index.asp?au_id=40,https://www.moneydj.com/kmdj/wiki/wikiviewer.aspx?keyid=fc89b180-bc83-4cb0-8ad7-84c72c77eb10
